,open,close,high,low,volume,money
2016-08-02,3173.76,3189.05,3189.05,3165.54,6216763900.0,70640763842.0
2016-08-03,3179.68,3193.51,3197.16,3173.54,7286410200.0,79754323301.0
2016-08-04,3190.55,3201.29,3201.55,3170.42,7350437300.0,86919591121.0
2016-08-05,3201.35,3205.11,3224.87,3192.86,7719636600.0,94429542391.0
2016-08-08,3199.57,3234.18,3234.48,3187.25,8667605100.0,102638114597.0
2016-08-09,3232.6,3256.98,3257.33,3229.17,9106525900.0,105924052436.0
2016-08-10,3255.18,3243.34,3261.86,3242.75,9043037200.0,106157448028.0
2016-08-11,3239.56,3233.36,3274.03,3232.61,10104121300.0,116996159046.0
2016-08-12,3231.81,3294.23,3294.23,3231.14,11625404400.0,129354686387.0
2016-08-15,3303.47,3393.42,3417.91,3302.38,22054342100.0,258897463910.0
2016-08-16,3403.38,3378.25,3418.69,3372.02,19638974000.0,226785231085.0
2016-08-17,3377.77,3373.05,3394.39,3356.92,13884768800.0,167917530856.0
2016-08-18,3369.95,3364.49,3394.79,3349.69,14238016900.0,172256533000.0
2016-08-19,3358.55,3365.02,3374.05,3341.19,11996150800.0,135382706293.0
2016-08-22,3364.68,3336.79,3372.83,3335.47,10795100800.0,128201783812.0
2016-08-23,3332.62,3341.83,3359.65,3324.96,9292451600.0,108503692377.0
2016-08-24,3341.93,3329.86,3348.13,3323.73,8119142900.0,94012832200.0
2016-08-25,3314.08,3308.97,3315.08,3279.81,10058915300.0,112578140010.0
2016-08-26,3312.5,3307.09,3328.95,3301.74,8153069100.0,93213205560.0
2016-08-29,3306.57,3307.78,3315.08,3297.07,7703633300.0,88011642022.0
2016-08-30,3310.32,3311.99,3325.12,3304.6,7572598700.0,89513016667.0
2016-08-31,3310.57,3327.79,3333.97,3304.66,7957080500.0,99215044445.0
2016-09-01,3326.74,3301.58,3329.35,3301.21,8494721900.0,100911462823.0
2016-09-02,3298.72,3314.11,3320.43,3295.76,8279180300.0,99396378584.0
2016-09-05,3321.01,3319.68,3338.42,3314.63,7829247700.0,87531089645.0
2016-09-06,3322.02,3342.63,3347.95,3300.13,9828399800.0,118366533426.0
2016-09-07,3344.07,3340.82,3357.36,3337.75,10294010600.0,115119908617.0
2016-09-08,3338.01,3339.56,3343.39,3328.23,7191615800.0,83742346850.0
2016-09-09,3339.37,3318.04,3344.95,3318.04,8265703600.0,95471188732.0
2016-09-12,3271.87,3262.6,3276.72,3234.57,12291768200.0,134456630927.0
2016-09-13,3265.34,3260.33,3269.22,3246.39,6718028800.0,76862644231.0
2016-09-14,3245.74,3238.73,3254.99,3231.34,7043269700.0,79780746436.0
2016-09-19,3242.74,3263.12,3264.9,3242.74,5883108200.0,67678031642.0
2016-09-20,3264.66,3257.4,3265.04,3252.39,5278420600.0,61626150818.0
2016-09-21,3257.71,3266.64,3270.9,3254.32,5914297900.0,68957744044.0
2016-09-22,3281.47,3291.12,3303.2,3277.98,7575354200.0,89991761655.0
2016-09-23,3292.28,3275.67,3293.92,3275.03,5799398600.0,68046257250.0
2016-09-26,3267.69,3220.28,3267.69,3220.28,7045218600.0,78700835132.0
2016-09-27,3214.87,3240.75,3240.78,3214.44,5846055000.0,66651130361.0
2016-09-28,3243.65,3230.89,3243.65,3228.0,4472749800.0,51996404752.0
2016-09-29,3234.86,3244.39,3257.77,3234.8,5545255600.0,62220302312.0
2016-09-30,3240.18,3253.28,3260.94,3239.04,4497802200.0,52655734553.0
