,open,close,high,low,volume,money
2014-06-03,2157.64,2149.92,2168.99,2149.29,4198295400.0,37906226058.0
2014-06-04,2149.41,2128.27,2149.45,2117.31,4181724900.0,35607022812.0
2014-06-05,2126.61,2150.6,2150.93,2123.52,3647742400.0,33050774675.0
2014-06-06,2149.21,2134.72,2149.78,2123.98,3573805800.0,32415599488.0
2014-06-09,2128.22,2134.28,2153.9,2126.66,3931106000.0,35326732064.0
2014-06-10,2138.67,2161.27,2161.53,2132.45,5050790200.0,44416141206.0
2014-06-11,2156.15,2160.77,2163.61,2152.08,4256371800.0,37311080748.0
2014-06-12,2156.76,2153.41,2160.99,2148.41,4302584300.0,37252041741.0
2014-06-13,2150.99,2176.24,2183.64,2150.57,5925287600.0,51765511450.0
2014-06-16,2176.44,2191.86,2196.34,2174.28,6329687500.0,56904298384.0
2014-06-17,2185.68,2169.67,2185.68,2168.45,4993366500.0,46244977817.0
2014-06-18,2169.25,2160.24,2172.55,2158.5,4946389700.0,42538095511.0
2014-06-19,2161.43,2126.91,2166.41,2119.5,5316264500.0,46029744918.0
2014-06-20,2124.96,2136.73,2137.03,2120.81,4239371900.0,35425712925.0
2014-06-23,2137.93,2134.11,2147.23,2132.45,4117925800.0,37112428752.0
2014-06-24,2131.69,2144.82,2145.21,2130.29,4016435600.0,38778505304.0
2014-06-25,2141.73,2133.37,2141.73,2126.03,3766610000.0,33809315524.0
2014-06-26,2135.16,2149.08,2151.11,2134.89,4435116600.0,40601836632.0
2014-06-27,2146.37,2150.26,2159.53,2138.93,5272289600.0,45525673947.0
2014-06-30,2152.31,2165.12,2168.22,2152.31,5430418800.0,50277570814.0
2014-07-01,2169.2,2164.56,2171.15,2157.13,5332310000.0,49936284309.0
2014-07-02,2164.0,2170.87,2171.51,2155.61,5968550100.0,53273658927.0
2014-07-03,2169.0,2180.19,2184.96,2164.84,6369069000.0,56024939299.0
2014-07-04,2180.45,2178.7,2183.8,2174.07,5285110600.0,47990033413.0
2014-07-07,2178.55,2176.29,2186.2,2171.08,5024233400.0,47663876919.0
2014-07-08,2174.83,2180.47,2180.78,2163.36,5074359900.0,46017266874.0
2014-07-09,2178.14,2148.71,2178.51,2148.26,6202204600.0,58980248398.0
2014-07-10,2146.6,2142.85,2151.77,2139.52,5573249700.0,50931668887.0
2014-07-11,2136.32,2148.01,2154.74,2134.8,6137427400.0,51551825645.0
2014-07-14,2149.54,2171.76,2171.9,2145.28,6615886300.0,60467088864.0
2014-07-15,2170.09,2174.98,2176.27,2165.21,7181569400.0,64304875149.0
2014-07-16,2172.82,2170.87,2183.25,2166.77,8156023000.0,61126054498.0
2014-07-17,2166.83,2157.07,2166.93,2147.08,5945356800.0,46354646289.0
2014-07-18,2147.66,2164.14,2176.32,2145.45,6547329500.0,53758919136.0
2014-07-21,2164.22,2166.3,2171.94,2158.95,5417226000.0,47731629577.0
2014-07-22,2162.44,2192.7,2197.59,2162.24,7854258300.0,66806114430.0
2014-07-23,2191.39,2197.83,2210.28,2190.55,8421387200.0,69177998063.0
2014-07-24,2199.83,2237.01,2239.82,2199.83,11943553400.0,99964367602.0
2014-07-25,2243.07,2260.45,2260.89,2239.07,9897283800.0,81994560081.0
2014-07-28,2272.38,2323.9,2331.47,2272.38,17986933300.0,145277424291.0
2014-07-29,2326.04,2331.37,2342.77,2316.22,13426964100.0,112176546316.0
2014-07-30,2324.69,2322.01,2339.04,2316.06,12302283200.0,103362308865.0
2014-07-31,2321.97,2350.25,2350.55,2316.59,11098776900.0,93135566963.0
2014-08-01,2341.23,2329.4,2371.5,2328.97,12631739000.0,106125190266.0
2014-08-04,2336.63,2375.62,2375.62,2332.14,11671375400.0,101301888277.0
2014-08-05,2376.8,2369.35,2380.77,2353.8,11186178900.0,97906971246.0
2014-08-06,2358.21,2363.22,2371.67,2334.33,11634182900.0,96681298733.0
2014-08-07,2363.61,2327.46,2369.2,2326.27,11672921000.0,94254453994.0
2014-08-08,2329.18,2331.13,2339.27,2319.29,8673969400.0,72605666133.0
2014-08-11,2338.01,2365.35,2367.0,2337.01,9160117100.0,82973900360.0
2014-08-12,2361.17,2357.05,2361.17,2344.72,9182260800.0,82973769642.0
2014-08-13,2358.46,2358.9,2370.51,2335.69,11044778900.0,94185266458.0
2014-08-14,2357.2,2335.95,2363.18,2334.08,9796949300.0,84251435869.0
2014-08-15,2337.99,2360.64,2366.9,2333.12,9359254600.0,81888217001.0
2014-08-18,2366.27,2374.56,2379.8,2361.2,10450955400.0,90148909855.0
2014-08-19,2378.89,2374.77,2379.47,2358.97,11585002000.0,102742759960.0
2014-08-20,2371.65,2366.14,2375.47,2360.84,10128808800.0,91374802730.0
2014-08-21,2365.73,2354.24,2367.46,2333.3,10069021100.0,92192063269.0
2014-08-22,2352.32,2365.36,2368.46,2350.99,8982393800.0,85642463757.0
2014-08-25,2367.02,2342.86,2367.61,2338.45,9737371700.0,85182493960.0
2014-08-26,2339.6,2324.09,2350.39,2317.18,9384422200.0,83135033150.0
2014-08-27,2323.79,2327.59,2336.74,2322.89,6767622100.0,62448675179.0
2014-08-28,2328.06,2311.28,2336.36,2309.64,7049065500.0,66195966855.0
2014-08-29,2317.3,2338.29,2338.77,2313.26,6321142300.0,58359967752.0
2014-09-01,2340.93,2355.32,2355.55,2338.53,7732087000.0,73362240553.0
2014-09-02,2359.86,2386.46,2387.66,2349.95,11443673300.0,106925790139.0
2014-09-03,2389.69,2408.84,2414.26,2389.68,12973420400.0,123629189433.0
2014-09-04,2411.93,2426.22,2427.3,2404.08,11127229800.0,108294703239.0
2014-09-05,2433.17,2449.26,2450.63,2427.99,13355176400.0,123349320057.0
2014-09-09,2452.23,2445.22,2454.89,2437.08,11819434400.0,107795213548.0
2014-09-10,2435.59,2432.43,2437.08,2422.65,10917551700.0,97472682969.0
2014-09-11,2430.68,2423.45,2461.47,2417.27,13298258300.0,127203381658.0
2014-09-12,2418.75,2438.36,2438.36,2412.62,10916017000.0,96625765409.0
2014-09-15,2433.0,2437.19,2439.25,2418.96,12224715900.0,112507690398.0
2014-09-16,2440.34,2388.76,2442.92,2386.98,18674279100.0,147250169859.0
2014-09-17,2395.36,2401.33,2405.37,2379.09,12526902800.0,98039470145.0
2014-09-18,2396.38,2408.66,2414.95,2389.62,11592637600.0,92105332013.0
2014-09-19,2409.31,2425.21,2430.15,2402.31,10181357700.0,88221038707.0
2014-09-22,2419.33,2378.92,2419.33,2374.11,10224087000.0,88958056522.0
2014-09-23,2379.52,2399.46,2402.48,2379.52,8403334100.0,75463683722.0
2014-09-24,2391.42,2441.86,2443.98,2387.07,14271353000.0,120389934642.0
2014-09-25,2453.42,2436.97,2462.67,2429.59,13866189100.0,119612625726.0
2014-09-26,2430.81,2437.2,2439.65,2420.5,10029949400.0,87757377938.0
2014-09-29,2443.91,2447.8,2453.66,2435.61,12340172700.0,111463779824.0
2014-09-30,2452.17,2450.99,2454.89,2444.2,11580422900.0,101906558841.0
2014-10-08,2460.87,2478.38,2478.38,2445.27,12195360400.0,116500107810.0
2014-10-09,2480.2,2481.95,2488.11,2461.11,13792392000.0,120752628433.0
2014-10-10,2472.1,2466.79,2482.14,2457.68,14763430700.0,121924973049.0
2014-10-13,2457.41,2454.95,2460.39,2430.55,13159336200.0,112784478808.0
2014-10-14,2451.09,2446.56,2467.9,2436.34,12739370500.0,106356643094.0
2014-10-15,2444.54,2463.87,2465.5,2431.19,13580188200.0,114837290107.0
2014-10-16,2448.97,2444.39,2480.3,2441.82,15816660300.0,128340525473.0
2014-10-17,2443.22,2441.73,2456.11,2410.4,13275998800.0,112685625525.0
2014-10-20,2448.45,2454.71,2456.62,2441.9,9143540100.0,84843604900.0
2014-10-21,2453.41,2433.39,2459.26,2432.55,9624191200.0,86622201933.0
2014-10-22,2434.89,2418.64,2447.47,2417.56,8865619300.0,82251744245.0
2014-10-23,2415.44,2395.94,2424.66,2392.53,10349183900.0,86045452830.0
2014-10-24,2397.85,2390.71,2404.99,2385.72,7497486900.0,65601225156.0
2014-10-27,2377.54,2368.83,2377.54,2361.68,7386244700.0,65956480803.0
2014-10-28,2373.16,2416.65,2416.77,2373.16,10152305500.0,90529903107.0
2014-10-29,2423.81,2451.38,2461.27,2415.7,15858406200.0,134541723619.0
2014-10-30,2450.36,2468.93,2474.38,2443.76,18962635300.0,139157358014.0
2014-10-31,2473.5,2508.32,2512.19,2466.5,23917241200.0,181604617039.0
2014-11-03,2515.82,2512.55,2524.17,2502.06,20580122800.0,151406835108.0
2014-11-04,2511.04,2513.17,2517.46,2498.61,21824700500.0,155291882550.0
2014-11-05,2516.87,2503.45,2519.4,2499.23,19049186200.0,146130895120.0
2014-11-06,2505.17,2506.07,2510.99,2482.98,14965111700.0,118839203631.0
2014-11-07,2508.76,2502.15,2541.55,2489.42,20876091100.0,176868665325.0
2014-11-10,2529.83,2565.73,2565.73,2514.71,22659973500.0,187612569248.0
2014-11-11,2578.44,2558.61,2602.37,2532.57,32371165600.0,265840509803.0
2014-11-12,2545.4,2594.32,2594.32,2539.6,18468626100.0,157847382809.0
2014-11-13,2597.39,2579.75,2607.52,2567.46,21981561500.0,192985452900.0
2014-11-14,2569.21,2581.09,2581.93,2557.67,16504996500.0,145409933865.0
2014-11-17,2613.51,2567.1,2614.09,2565.94,15847809500.0,147724645089.0
2014-11-18,2565.27,2541.42,2570.21,2534.93,14294135600.0,124246649435.0
2014-11-19,2538.23,2537.22,2550.5,2531.32,12214697400.0,113031721938.0
2014-11-20,2528.78,2537.1,2545.47,2522.84,10614986400.0,98145538650.0
2014-11-21,2537.54,2583.45,2585.36,2530.03,15102813900.0,143750813260.0
2014-11-24,2614.16,2649.26,2667.67,2602.94,27983972000.0,264974912281.0
2014-11-25,2650.09,2685.56,2686.06,2643.84,22261169900.0,206879208489.0
2014-11-26,2695.26,2723.02,2723.36,2690.31,24396248500.0,239333899163.0
2014-11-27,2737.03,2754.49,2754.49,2718.7,26546473000.0,261164877169.0
2014-11-28,2753.93,2808.82,2809.54,2740.37,37532366200.0,330256023242.0
2014-12-01,2825.61,2819.81,2855.33,2808.65,36548741700.0,338833084229.0
2014-12-02,2807.34,2923.94,2944.51,2804.29,36146532200.0,341185189116.0
2014-12-03,2936.12,2967.55,3028.22,2912.25,46615668500.0,464857500377.0
2014-12-04,2975.4,3104.35,3104.89,2968.88,42681292800.0,433875560243.0
2014-12-05,3143.97,3124.89,3195.8,3011.94,52488126000.0,554362904944.0
2014-12-08,3108.27,3252.88,3270.88,3075.7,48446234400.0,515773683037.0
2014-12-09,3233.1,3106.91,3387.83,3074.52,63287456700.0,702150099247.0
2014-12-10,3120.21,3221.55,3229.05,3058.19,42501870800.0,477300103105.0
2014-12-11,3185.16,3183.01,3254.42,3158.44,36709169100.0,392944833604.0
2014-12-12,3182.92,3193.23,3239.45,3167.93,30106532500.0,337817436996.0
2014-12-15,3176.83,3217.23,3226.22,3143.3,29019383400.0,326668040798.0
2014-12-16,3221.36,3303.4,3303.4,3207.69,35812384700.0,425665729151.0
2014-12-17,3325.82,3360.6,3368.19,3275.74,44814077000.0,527748937956.0
2014-12-18,3359.09,3345.93,3393.71,3322.23,35597020700.0,416260448852.0
2014-12-19,3345.63,3383.17,3397.18,3280.92,41121159000.0,435516864940.0
2014-12-22,3396.25,3394.48,3455.21,3357.66,54980167100.0,537021101759.0
2014-12-23,3358.8,3324.92,3431.78,3316.91,36973609300.0,377227774057.0
2014-12-24,3332.15,3230.39,3340.36,3188.49,31744958700.0,339475799573.0
2014-12-25,3254.48,3335.42,3335.78,3226.32,30979954700.0,330128939928.0
2014-12-26,3343.64,3445.84,3453.34,3335.01,38461412400.0,438838427110.0
2014-12-29,3502.18,3455.45,3524.28,3405.84,42501503700.0,505004508391.0
2014-12-30,3450.81,3457.55,3491.83,3422.17,32823387300.0,394607772399.0
2014-12-31,3462.39,3533.7,3542.34,3452.5,34593476000.0,403710888146.0
2015-01-05,3566.09,3641.54,3669.04,3551.51,45119809800.0,519849817448.0
2015-01-06,3608.43,3641.06,3683.23,3587.23,42096218500.0,498529588258.0
2015-01-07,3620.92,3643.79,3671.19,3601.7,32019123200.0,398731720502.0
2015-01-08,3650.07,3559.26,3659.95,3552.1,29500304500.0,355831967325.0
2015-01-09,3547.57,3546.72,3689.75,3536.39,34998267200.0,430210592272.0
2015-01-12,3531.51,3513.58,3560.53,3461.32,26656717500.0,334257133083.0
2015-01-13,3506.45,3514.04,3550.16,3494.77,18715396500.0,250796676069.0
2015-01-14,3522.91,3502.42,3547.24,3471.56,19601251000.0,241285837533.0
2015-01-15,3501.72,3604.12,3604.12,3482.27,23781233800.0,303445351108.0
2015-01-16,3616.25,3635.15,3662.16,3601.26,28268161400.0,355568710742.0
2015-01-19,3414.01,3355.16,3497.25,3330.98,32950527500.0,366017532103.0
2015-01-20,3336.79,3396.22,3419.2,3325.68,29784323200.0,381917903845.0
2015-01-21,3420.49,3548.89,3557.79,3409.43,33792821000.0,425433704264.0
2015-01-22,3551.05,3567.61,3576.76,3520.05,26885359900.0,345026040998.0
2015-01-23,3582.09,3571.73,3627.81,3548.63,28017217200.0,361835546416.0
2015-01-26,3580.12,3607.99,3611.62,3559.38,23976620300.0,309585710088.0
2015-01-27,3614.04,3574.93,3616.26,3510.02,28766917900.0,357548249621.0
2015-01-28,3547.24,3525.32,3583.31,3512.39,21622021400.0,278749164896.0
2015-01-29,3474.91,3481.8,3505.58,3453.9,21161886000.0,251897926442.0
2015-01-30,3496.89,3434.39,3514.22,3431.94,19647915700.0,237420793858.0
2015-02-02,3360.19,3353.96,3407.26,3347.09,19518369900.0,224837769887.0
2015-02-03,3388.6,3437.45,3441.71,3360.72,19284609600.0,241100023193.0
2015-02-04,3446.14,3401.77,3476.82,3399.57,19130434900.0,244034297155.0
2015-02-05,3487.95,3366.95,3487.95,3366.86,25043060900.0,311523669172.0
2015-02-06,3352.33,3312.42,3374.05,3285.93,19266418600.0,221433183351.0
2015-02-09,3305.73,3345.92,3376.53,3298.6,17235382000.0,220766525021.0
2015-02-10,3345.08,3406.94,3407.18,3339.55,15930908800.0,199120680699.0
2015-02-11,3415.98,3434.12,3445.66,3412.14,14461377200.0,185979219656.0
2015-02-12,3435.36,3442.87,3453.58,3405.63,15608169100.0,191285873488.0
2015-02-13,3458.83,3469.83,3509.51,3452.08,20108997100.0,247076153339.0
2015-02-16,3473.29,3499.48,3504.47,3466.61,16564134300.0,222799721247.0
2015-02-17,3511.54,3522.32,3536.82,3511.09,16532831300.0,214457267905.0
2015-02-25,3529.55,3478.73,3529.55,3463.95,16553935100.0,211739059322.0
2015-02-26,3473.71,3566.3,3569.33,3456.87,22932843800.0,279809075234.0
2015-02-27,3565.23,3572.84,3594.81,3560.45,22278643800.0,271861944608.0
2015-03-02,3603.45,3601.26,3608.69,3566.53,24817612500.0,325164897145.0
2015-03-03,3579.32,3507.9,3579.32,3504.2,26186648900.0,335700118167.0
2015-03-04,3514.67,3530.82,3540.91,3497.17,19966398100.0,257468790961.0
2015-03-05,3513.25,3496.34,3517.08,3467.68,21750880500.0,279030592350.0
2015-03-06,3501.18,3478.52,3516.24,3472.39,18151805400.0,233468244766.0
2015-03-09,3449.7,3537.75,3546.7,3417.49,23394041100.0,277860471571.0
2015-03-10,3523.64,3520.61,3551.2,3511.99,19426765700.0,245366625918.0
2015-03-11,3524.57,3524.65,3568.92,3512.22,18894782500.0,235772755479.0
2015-03-12,3557.69,3592.84,3603.34,3536.53,26566462500.0,322141249344.0
2015-03-13,3604.67,3617.66,3641.39,3594.74,24686476800.0,297298516465.0
2015-03-16,3641.77,3705.67,3705.74,3621.12,27543830700.0,358497570207.0
2015-03-17,3733.96,3757.12,3762.57,3716.81,37162566600.0,455003825887.0
2015-03-18,3769.09,3846.05,3846.05,3763.85,41519001100.0,484465529242.0
2015-03-19,3851.25,3839.74,3859.13,3809.71,39154763000.0,463212821639.0
2015-03-20,3852.49,3892.57,3916.86,3832.42,40181755200.0,544468374302.0
2015-03-23,3923.08,3972.06,3972.3,3922.21,39111992200.0,519760220709.0
2015-03-24,3980.07,3973.05,3989.86,3883.78,46858131200.0,591066800604.0
2015-03-25,3961.58,3940.41,3980.72,3913.99,37996885100.0,501733891680.0
2015-03-26,3921.74,3950.0,3992.0,3892.88,34675631500.0,468538490771.0
2015-03-27,3957.54,3971.7,3993.03,3932.87,29875606400.0,393132347578.0
2015-03-30,3999.02,4088.18,4101.65,3999.02,42829702000.0,546211078887.0
2015-03-31,4138.89,4051.2,4166.02,4037.77,43606563500.0,598121732643.0
2015-04-01,4057.5,4123.9,4139.5,4046.94,32951285300.0,466596904663.0
2015-04-02,4149.95,4124.78,4156.84,4068.65,33907048700.0,476617837707.0
2015-04-03,4104.67,4170.54,4170.56,4092.38,32130376600.0,466965600575.0
2015-04-07,4213.89,4260.04,4260.47,4197.02,41536265400.0,564646323685.0
2015-04-08,4277.45,4295.8,4304.78,4204.83,45867671500.0,658308062760.0
2015-04-09,4316.96,4262.14,4332.17,4212.61,43969990200.0,650419151486.0
2015-04-10,4249.38,4344.42,4351.69,4231.2,34819017000.0,509354291196.0
2015-04-13,4394.05,4421.07,4432.02,4361.59,43415303600.0,598518139930.0
2015-04-14,4432.13,4438.18,4474.35,4385.91,43443212600.0,602127441917.0
2015-04-15,4439.31,4380.51,4476.0,4379.61,47215413100.0,596822875636.0
2015-04-16,4355.49,4513.55,4513.77,4335.63,42260374800.0,564722844124.0
2015-04-17,4578.68,4596.14,4630.27,4553.9,55280266300.0,733953610122.0
2015-04-20,4615.03,4521.92,4671.17,4492.6,68643907500.0,939264904128.0
2015-04-21,4520.46,4619.16,4620.06,4504.56,49031499100.0,685365027867.0
2015-04-22,4637.06,4739.81,4740.93,4632.59,51621379200.0,769924803864.0
2015-04-23,4764.48,4740.89,4782.04,4693.97,49743095400.0,752258236225.0
2015-04-24,4682.63,4702.64,4730.43,4618.32,48015293600.0,721273097490.0
2015-04-27,4753.87,4807.59,4810.48,4735.31,51307654800.0,765910402328.0
2015-04-28,4811.32,4741.86,4839.08,4703.57,60863854500.0,860349875255.0
2015-04-29,4722.9,4774.33,4797.93,4695.79,39505698000.0,601676350605.0
2015-04-30,4788.41,4749.89,4818.73,4749.48,39972744400.0,612511415165.0
2015-05-04,4757.64,4787.74,4795.91,4699.4,37784385300.0,565453373624.0
2015-05-05,4785.19,4596.84,4785.19,4572.98,46041962600.0,660020218474.0
2015-05-06,4626.23,4553.33,4700.91,4511.76,37607370200.0,586033987365.0
2015-05-07,4520.82,4470.09,4546.34,4467.46,29775920300.0,427189953161.0
2015-05-08,4515.55,4558.4,4559.06,4445.59,30240796700.0,452090694881.0
2015-05-11,4582.09,4690.53,4690.95,4535.15,37383842000.0,583260408778.0
2015-05-12,4692.12,4747.42,4748.0,4660.02,37705389100.0,607123299939.0
2015-05-13,4746.71,4718.44,4758.0,4678.85,37073042400.0,590479847838.0
2015-05-14,4717.95,4700.78,4735.28,4670.17,33772515200.0,513219655550.0
2015-05-15,4690.76,4617.47,4690.76,4592.05,32843116600.0,506695010176.0
2015-05-18,4582.06,4575.14,4623.38,4565.06,26918048900.0,434083129375.0
2015-05-19,4577.64,4731.22,4740.01,4577.64,31478595200.0,524232160128.0
2015-05-20,4751.57,4754.92,4843.1,4745.21,36318074800.0,589956272979.0
2015-05-21,4768.69,4840.98,4841.61,4746.03,30505453700.0,505346105539.0
2015-05-22,4895.93,4951.34,4951.99,4870.6,45584671800.0,719129953200.0
2015-05-25,4949.11,5099.49,5099.84,4949.11,46573659000.0,757085825931.0
2015-05-26,5140.8,5198.92,5199.3,5063.15,48794935900.0,802295843467.0
2015-05-27,5216.17,5181.43,5226.84,5126.86,47079873000.0,777826309129.0
2015-05-28,5174.1,4834.01,5213.18,4831.33,57182904700.0,873207363731.0
